,tweet,politican
0,"Germany pays Russia billions of dollars a year for Energy, and we are supposed to protect Germany from Russia. What… https://t.co/RKaN0O2gtM",Trump
1,"Check out this Mail-In Voting experiment by a local news station! 
https://t.co/23tOdt1hYc",Trump
2,New York Mail-In voting is in a disastrous state of condition. Votes from many weeks ago are missing - a total mess… https://t.co/AhENvwe53K,Trump
3,RT @realDonaldTrump: .@FoxNews reported incorrectly what the Federal Government is doing with respect to Portland. We are demanding that th…,Trump
4,"RT @TeamTrump: President @realDonaldTrump: “I don’t think Biden’s going to do too well in Texas,"" especially with no fracking part of his p…",Trump
5,RT @WhiteHouse: President @realDonaldTrump will ALWAYS put America first! 🇺🇸 https://t.co/IaJLY7GDn5,Trump
6,.@FoxNews reported incorrectly what the Federal Government is doing with respect to Portland. We are demanding that… https://t.co/SplDaVw21D,Trump
7,RT @WhiteHouse: LIVE: President @realDonaldTrump delivers remarks on energy dominance https://t.co/y4hvLoRLIc,Trump
8,Great to be in Texas!,Trump
9,RT @realDonaldTrump: LAW &amp; ORDER!,Trump
10,RT @realDonaldTrump: Sleepy Joe Biden is just a Trojan Horse for the Radical Left Agenda. He will do whatever they want!,Trump
11,https://t.co/6WIUe9lT9D,Trump
12,https://t.co/rGwz4N6PwW,Trump
13,"...do not stop the Crime and Violence from the Anarchists and Agitators immediately, the Federal Government will go… https://t.co/Jz7OQ2YYEv",Trump
14,"If the Federal Government and its brilliant Law Enforcement (Homeland) didn’t go into Portland one week ago, there… https://t.co/rbwoNLkfoY",Trump
15,Just landed in the Great State of Texas! https://t.co/Z9LjIU0Uec,Trump
16,"I was on Air Force One flying to the Great State of Texas, where I just landed. It is AMAZING in watching @FoxNews… https://t.co/LD9tbmkQSy",Trump
17,"...With Biden, drug prices will quadruple! After many years, the game is finally up for Big Pharma, and they’re NOT… https://t.co/wxvuPoR9sT",Trump
18,"The drug companies are spending millions of dollars in advertising against me, only because I am lowering drug pric… https://t.co/mMSgLvEEUT",Trump
19,"...Your housing prices will go up based on the market, and crime will go down. I have rescinded the Obama-Biden AFFH Rule. Enjoy!",Trump
20,I am happy to inform all of the people living their Suburban Lifestyle Dream that you will no longer be bothered or… https://t.co/mAXfVohaPT,Trump
21,"If Congress doesn’t bring fairness to Big Tech, which they should have done years ago, I will do it myself with Exe… https://t.co/Fs3KGqYEUv",Trump
22,Reno-Stead Airport has big bucks coming its way. I’m designating over $4.8 million from @USDOT to reconstruct the a… https://t.co/me8onYIUuO,Trump
23,BIG bucks are on their way to @ILMairport. Over $21.1 MILLION designated to Wilmington International from @USDOT to… https://t.co/EZArH8jSNZ,Trump
24,"I am designating $18.9 million from @USDOT to MANY airports in Ohio, including @goingplacescle, @CAKairport, and se… https://t.co/xggQxzMl8W",Trump
25,Great news for Florida! $3.3 million will be sent to @flyKissimmee from @USDOT for airport improvements and safety… https://t.co/1aS7JXgoaP,Trump
26,"I am designating $18.77M from @USDOT for 7 airports across Pennsylvania. @PITairport, Northeast Philadelphia Airpor… https://t.co/wXJm5VABN8",Trump
27,Texarkana Regional Airport has a major grant coming its way from @USDOT. I’m designating $3.6 million to reconstruc… https://t.co/d4llxvICQW,Trump
28,RT @realDonaldTrump: Big Pharma is taking television ads trying to make the case that I am raising prescription drug prices on seniors. The…,Trump
29,"RT @realDonaldTrump: ....be able to produce what I have. So when you see those nasty ads from Big Pharma remember, the only reason they are…",Trump
30,LAW &amp; ORDER!,Trump
31,Sleepy Joe Biden is just a Trojan Horse for the Radical Left Agenda. He will do whatever they want!,Trump
32,"RT @seanhannity: GRAHAM: The FBI ‘Lied Their A** OFF’ to Congress about FISA Warrant, Steele Dossier https://t.co/32evEJ80jU",Trump
33,RT @seanhannity: REPORT: New York City Spent $52 Million on Temporary Hospital that Treated 79 Coronavirus Patients https://t.co/xdCsAm5Iuw,Trump
34,RT @seanhannity: The Heat Is ON: Biden Campaign Goes On Defense Over Senate Burisma Investigation https://t.co/8m8hEBXgk9,Trump
35,"RT @seanhannity: CHICAGO LEADERS: City Witnessing Crime of ‘Biblical Proportion,’ Mayor Unable to ‘Maintain Law and Order’ https://t.co/HN0…",Trump
36,"“The Plus, Self-Help for People Who Hate Self-Help”, by the very smart and witty @greggutfeld, is on sale now. It i… https://t.co/HM4FyGDITb",Trump
