,tweet,politican,Party,State
0,"Many tribal advocates and family members of those affected worked so tirelessly on this issue, and I am proud to ha… https://t.co/NosD34Vx3W",Lisa Murkowski ,R,AK 
1,"The Not Invisible Act paves the way for greater collaboration between federal agencies, law enforcement, and electe… https://t.co/seY5cGdn8y",Lisa Murkowski ,R,AK 
2,"Savanna’s Act improves coordination among all levels of law enforcement, increases data collection and information… https://t.co/AGnLNEOwWV",Lisa Murkowski ,R,AK 
3,"Today, two pieces of legislation I introduced alongside @SenCortezMasto, aimed at addressing the crisis of missing,… https://t.co/OSaShDWpcL",Lisa Murkowski ,R,AK 
4,"This was the scene in front of the U.S. Supreme Court yesterday. Music was playing while people—young, old and ever… https://t.co/xdvkQOkwK5",Lisa Murkowski ,R,AK 
5,"Jim Hubbard, who serves as the @USDA’s Under Secretary for Natural Resources and Environment, is among those at the… https://t.co/1rRcTsYuxX",Lisa Murkowski ,R,AK 
6,"While Alaska has had a relatively quiet fire season, our West Coast neighbors have lost loved ones and homes to the… https://t.co/icwO3lajwP",Lisa Murkowski ,R,AK 
7,My statement after hearing of the passing of Justice of United States Supreme Court Justice Ruth Bader Ginsburg: https://t.co/1zhWSH5hhg,Lisa Murkowski ,R,AK 
8,"On behalf of grateful Alaskans and Americans, Happy 73rd Birthday to the @usairforce. Your service to our nation an… https://t.co/489CvCipX2",Lisa Murkowski ,R,AK 
9,"Today on National #POWMIARecognitionDay, we come together as a nation to honor &amp; remember the sacrifices of service… https://t.co/jsBRvtQZsc",Lisa Murkowski ,R,AK 
10,This topic has arisen many times from Alaska-based service members &amp; is an issue leaders within the Alaska military… https://t.co/BgbnFBTrRy,Lisa Murkowski ,R,AK 
11,"I'm proud to join @SenMikeLee as an original cosponsor of the Military Spouse Licensing Relief Act, legislation tha… https://t.co/WR6hfNzTr8",Lisa Murkowski ,R,AK 
12,RT @alaskachamber: We are excited to announce Senator @lisamurkowski will be joining us on September 22! Don't miss out on The Congressiona…,Lisa Murkowski ,R,AK 
13,RT @_Arctic_Circle: Join the dialogue on how the future of the #Arctic will be impacted by the #US 🇺🇸 #PresidentialElection with @lisamurko…,Lisa Murkowski ,R,AK 
14,"I thank @SecBrouillette, @DepSecMenezes, and their teams for working with us to make this happen. I’m excited to se… https://t.co/Du3MK1zBRV",Lisa Murkowski ,R,AK 
15,I've prioritized this office in the Appropriations process because I know it will help facilitate the development o… https://t.co/gYvGqVupiJ,Lisa Murkowski ,R,AK 
16,"The US is an #Arctic nation because of Alaska, and the re-establishment of this Arctic Energy Office will ensure gr… https://t.co/engQq7rG5i",Lisa Murkowski ,R,AK 
17,".@EnergyPress re-established its Arctic Energy Office in Fairbanks, Alaska - which will have a renewed focus on the… https://t.co/kTimNZFO5m",Lisa Murkowski ,R,AK 
18,Happy for the opportunity to join @ComFishAK virtually—to have a dialogue with attendees and to share updates on ef… https://t.co/G753Lsg4d0,Lisa Murkowski ,R,AK 
19,Congrats to Shee Atiká Enterprises in Sitka for receiving one of these contracts! Excited to see the role you will… https://t.co/YDlU8AhfRT,Lisa Murkowski ,R,AK 
20,RT @GOPHELP: TUNE IN @10:00AM ET for the Senate HELP hearing to discuss how Congress can simplify the FAFSA this year—to no more than 33 qu…,Lisa Murkowski ,R,AK 
21,"RT @smithsonian: On Friday, Sept. 18, our @NMAAHC, @smithsoniannpg, @americanart and its Renwick Gallery will reopen to the public. They wi…",Lisa Murkowski ,R,AK 
22,"RT @adndotcom: The city of Anchorage is distributing 160,000 more masks to residents this week, the city’s Emergency Operations Center anno…",Lisa Murkowski ,R,AK 
23,My statement on the signing of the #AbrahamAccords—a truly historic signing. https://t.co/JYMK2K11og,Lisa Murkowski ,R,AK 
24,I asked the nominees to provide examples demonstrating they can be independent if confirmed to serve at @FERC and t… https://t.co/ps4CQKEF03,Lisa Murkowski ,R,AK 
25,"FERC’s economic reach has been estimated at 3% of the gross domestic product, but its real impact is likely greater… https://t.co/XAzQpGQfql",Lisa Murkowski ,R,AK 
26,Decisions that FERC Commissioners make matter—not only to the energy sector but to the nation. Approving the siting… https://t.co/NAlWz3Vd8S,Lisa Murkowski ,R,AK 
27,Today I chaired a @EnergyGOP hearing to consider the nominations of Mark Christie and Allison Clements to be Member… https://t.co/uAc0RJ7r7L,Lisa Murkowski ,R,AK 
28,"RT @EnergyGOP: Last Friday@nature_org, @USChamber, @EnvDefenseFund, @ShopFloorNAM and 68 organizations urged passed of the American Energy…",Lisa Murkowski ,R,AK 
29,"One of the questions we raised in our letter, was if the Emergency Family Stabilization Act, a bipartisan bill I pr… https://t.co/62XbTtHBwp",Lisa Murkowski ,R,AK 
30,We must support our most vulnerable populations during these challenging times. @Sen_JoeManchin &amp; I wrote a letter… https://t.co/qONVknAzDa,Lisa Murkowski ,R,AK 
31,I've been working hard w/ @SenDanSullivan and @RepDonYoung to deliver relief to our fishermen and make sure that na… https://t.co/Kh7Ekt2ucL,Lisa Murkowski ,R,AK 
32,"While this year has greatly impacted fishing communities— disrupting supply chains, affecting fish prices, &amp; hinder… https://t.co/im43CtoaMZ",Lisa Murkowski ,R,AK 
33,I was glad to join many Alaskans to celebrate Bristol Bay’s iconic wild salmon at @BristolBayToday's Wild Salmon Ce… https://t.co/U4JyqP67QA,Lisa Murkowski ,R,AK 
34,Congrats to @MollyofDenali on this achievement! This show does a great job on educating America's youth about Alask… https://t.co/bgheJqIwkC,Lisa Murkowski ,R,AK 
35,The concern over food insecurity in Alaska has only been heightened due to the ongoing pandemic. This is a great st… https://t.co/FMyv5igAyC,Lisa Murkowski ,R,AK 
36,RT @Alaska_DHSS: Alaska's testing program was built by Alaskans working together to find solutions. WSJ profiled our program as one of the…,Lisa Murkowski ,R,AK 
37,"I'm cosponsoring @SenCortezMasto's bill, the Sustaining Tourism Enterprises During the #COVID19 Pandemic Act, or th… https://t.co/YAgosZn46v",Lisa Murkowski ,R,AK 
38,"It’s estimated that over 2.2 million visitors would have traveled to #Alaska in 2020. Unfortunately, due to… https://t.co/YYcZ3IlM8E",Lisa Murkowski ,R,AK 
39,"That's why I introduced bicameral, bipartisan legislation, the 2020 Census Deadline Extensions Act, alongside… https://t.co/tqqJglOuys",Lisa Murkowski ,R,AK 
40,"For an effort that happens once every 10 years, w/ impacts that last for the next decade, this is far too important… https://t.co/F0OAUkRSM9",Lisa Murkowski ,R,AK 
41,"Obtaining an accurate Census count is always difficult. But now, with the added delays and difficulties caused by… https://t.co/t27hnRm182",Lisa Murkowski ,R,AK 
42,"This new facility will improve shipping capabilities, strengthen Alaska’s supply chain security, and provide much-n… https://t.co/ue7pNa4W5W",Lisa Murkowski ,R,AK 
43,"As a member of the Senate Appropriations Committee, I’ve worked hard to secure funding to support this grant progra… https://t.co/M5nSQNpIJc",Lisa Murkowski ,R,AK 
44,Today I joined @SenDanSullivan &amp; @repDonYoung in thanking @SecElaineChao for awarding a $21 million BUILD grant for… https://t.co/ysZFNGYiHG,Lisa Murkowski ,R,AK 
45,Watch live as I join @SenDanSullivan for a convo w/ @PolarInstitute director Dr. Mike Sfraga on the @USAirForce’s… https://t.co/DIcRNhcYwo,Lisa Murkowski ,R,AK 
46,"That’s why I’m cosponsoring the RESTAURANTS Act, a bill led by @SenatorWicker in which would provide certain restau… https://t.co/w6mUiN2ldl",Lisa Murkowski ,R,AK 
47,"The impact of #COVID19 on the restaurant industry has been far-reaching, causing many to unfortunately close for go… https://t.co/fyvLAut4Ux",Lisa Murkowski ,R,AK 
48,"This is critical support for organizations and governments that help secure housing, improve safety, and provide va… https://t.co/4jflHW0l29",Lisa Murkowski ,R,AK 
49,Very encouraged by the @TheJusticeDept’s commitment to supporting vulnerable Alaskans as we navigate #COVID19.… https://t.co/QHbxM3ZbRG,Lisa Murkowski ,R,AK 
50,.@TheJusticeDept’s Office of Community Oriented Policing Services School Violence Prevention Program has announced… https://t.co/scyHuacSJp,Lisa Murkowski ,R,AK 
51,Congrats to Petersburg Medical Center CEO Phil Hofstetter for receiving the honor of being this year’s Grassroots C… https://t.co/BuGqAXJENg,Lisa Murkowski ,R,AK 
52,The changes made by this legislation will go a long way in improving the quality and accuracy of Tribal health care… https://t.co/nYt8ngvaDz,Lisa Murkowski ,R,AK 
53,"I’m proud to introduce the Tribal Health Data Improvement Act alongside @SenTinaSmith, which will help Tribes acces… https://t.co/9cW89xc9C9",Lisa Murkowski ,R,AK 
54,"American Indian &amp; Alaska Native communities face stark health disparities. In addition to these inequities, high ra… https://t.co/GVymLnhGnr",Lisa Murkowski ,R,AK 
55,"Congrats to Alaskans Eddy Falcon Jr. and Tafilisaunoa Toleafoa, as well as all the recent graduates of the Human Tr… https://t.co/dXdgjlz6Kq",Lisa Murkowski ,R,AK 
56,.@ACFHHS 's Human Trafficking Leadership Academy is a national leader in providing services &amp; advocacy for traffick… https://t.co/Ekavx14pgV,Lisa Murkowski ,R,AK 
57,"As we remember being attacked from abroad on #September11, it is my hope that we can use that memory to unify here at home today. God Bless.",Lisa Murkowski ,R,AK 
58,The outpouring of support we showed for each other in the days and months that followed September 11 reminds us tha… https://t.co/T1eqfbArzH,Lisa Murkowski ,R,AK 
59,"But as we reflect on what was lost on #September11, we must also remember what we found—the unity that we felt when… https://t.co/Csu1GJ9VQH",Lisa Murkowski ,R,AK 
60,"On #September11, 2001, America fell victim to unprovoked terrorist attacks which took the lives of nearly 3,000 Ame… https://t.co/2iAhAZAVHq",Lisa Murkowski ,R,AK 
61,".@FEMA approved an additional $44.8 million in grants for #Alaska under the Lost Wages Assistance program, which pr… https://t.co/H8hOfPS3Vj",Lisa Murkowski ,R,AK 
