,tweet,politican
0,RT @realDonaldTrump: Will be interviewed by @seanhannity tonight at 9:00 P.M. on @FoxNews. Enjoy!!!,Trump
1,https://t.co/gPAHGxgLKN,Trump
2,Will be interviewed by @seanhannity tonight at 9:00 P.M. on @FoxNews. Enjoy!!!,Trump
3,WELCOME BACK BASEBALL! https://t.co/dhLSfNkI7L,Trump
4,RT @WhiteHouse: LIVE: President @realDonaldTrump holds a news conference https://t.co/4Hy92b3kD7,Trump
5,White House Press Conference at 5:15 P.M. Live!,Trump
6,The Suburban Housewives of America must read this article. Biden will destroy your neighborhood and your American D… https://t.co/ufn2RFsvJU,Trump
7,"Obama, who wouldn’t even endorse Biden until everyone else was out of the primaries (and even then waited a long ti… https://t.co/njPe0J63N1",Trump
8,The Democrats have stated strongly that they won’t approve a Payroll Tax Cut (too bad!). It would be great for work… https://t.co/1c5HyGTBXG,Trump
9,"Recently watched failed RINO Tom Ridge, former head of Homeland Security, trying to justify his sudden love of the… https://t.co/anVO7OGBTi",Trump
10,"We did great things, but it doesn’t matter to the Dems! https://t.co/itApu2V1JU",Trump
11,"RT @BuckSexton: Strong covid briefing by President Trump 

Serious, fact based, calm but in command 

Even the journos were reasonably well…",Trump
12,RT @BuckSexton: De Blasio’s plan to completely ruin NYC is going incredibly well,Trump
13,"RT @BuckSexton: While atrocities like this are constantly happening in America’s 3rd largest city, Democrats’ insane response is to make it…",Trump
14,RT @BuckSexton: The felony charges leveled against the armed St. Louis homeowners who refused to kneel to the protesters who broke onto the…,Trump
15,RT @BuckSexton: These “mostly peaceful protestors” sure do operate with the rehearsed  tactics and cohesive maneuver of a domestic terroris…,Trump
16,RT @BuckSexton: “Most [of the ‘moms’] aren’t mothers and many don’t even identify as female”,Trump
17,RT @RealJamesWoods: Didn’t hear about this on CNN though.,Trump
18,"RT @dbongino: Mayor Lightfoot is really giving De Blasio a run for his money for the mantle of “Worst Mayor in the United States.” 
It’s a…",Trump
19,RT @BuckSexton: It’s not possible for Democrats to offer up this abject fool as the next president of the United States and expect the rest…,Trump
20,RT @ByMikeBaker: People in the protest crowd react to Portland Mayor Ted Wheeler saying he won't commit to abolishing the police. https://t…,Trump
21,"RT @newtgingrich: Joe Biden vows, should he win, he'd continue the fight against religious morals and nuns of the Little Sister of the Poor…",Trump
22,"RT @TomCottonAR: The New York Times:

Explicit Chinese propaganda: no problem. 

Op-ed from a Republican Senator supported by most American…",Trump
23,RT @paulsperry_: BREAKING: Biden wishes public schools taught more about Islam; promises Muslims he will end terrorism-related ban on immig…,Trump
24,"RT @paulsperry_: BREAKING: Brian Auten, the FBI Supervisory Intelligence Analyst who wrote memo on how Steele's primary source told FBI dos…",Trump
25,"RT @paulsperry_: MYSTERY: Two other Russia-related investigations -- code-named ""Cross Wind"" and “Dragon” -- emerge from declassified docum…",Trump
26,"RT @paulsperry_: The FBI’s Dossier Deceit
New evidence that the bureau knew the Russia info was phony in 2017.
https://t.co/lwIlh4pCaa",Trump
27,"RT @paulsperry_: Marxist activists are using the issue of race as a pretext to attack ""individualism"" and ""the profit motive"" -- the corner…",Trump
28,RT @TocRadio: NEW: Daily Caller has learned that Ben Carson and HUD are ending the Obama-era Affirmatively Furthering Fair Housing rule on…,Trump
29,"RT @DHS_Wolf: This headline and others like it are grossly inaccurate &amp; irresponsible.

Our officers are not ""paramilitary."" They are civil…",Trump
30,RT @TXTylerNorris: Mayor who wishes to defund police urges citizens who supposedly hate the police to police the police by calling the poli…,Trump
31,"RT @seanmdav: The same government officials who threw a woman in jail for opening a hair salon, arrested a pastor for leading worship, and…",Trump
32,"RT @KimStrassel: I love this column. 
Fine, ban the Washington Redskins. Then move on to my long list of terrible team names, writes @danhe…",Trump
33,RT @KimStrassel: The FBI’s Dossier Deceit: New evidence that the bureau knew the Russia info was phony in 2017. https://t.co/tomNjBHRgL,Trump
34,RT @NextRevFNC: UNIONS HINDERING SCHOOL OPENINGS -- @KimStrassel weighs in on the school choice debate and the role that teachers unions pl…,Trump
35,"RT @KimStrassel: Put another way: Elected officials abdicate responsibility to provide law and order, and further threaten citizens who att…",Trump
36,"RT @KimStrassel: George Orwell’s observation that language shapes thought holds true for Covid-19 and Black Lives Matter, writes @gerardtba…",Trump
37,"RT @KimStrassel: As a native Oregonian, who still has friends/family there, i can attest that what is happening in Portland (and has been h…",Trump
38,"RT @KimStrassel: This is what Joe Biden calls ""peaceful.""",Trump
39,RT @MZHemingway: Could Media Please Stop Publishing Same NeverTrump Column? https://t.co/tNBipK5lyk,Trump
40,"RT @willchamberlain: Matt Borges - the former chair of the Ohio Republican Party - set up a #NeverTrump PAC to try and elect Joe Biden

Tod…",Trump
41,"RT @John_Kass: The Biden promise is that if elected, the hysterical screaming will end &amp; #CancelCulture won’t come for your kids or for you…",Trump
42,"RT @MZHemingway: Even the news hosts seem dramatically unaware that we're up to nearly 800,000 tests per day in the country.",Trump
43,"RT @MZHemingway: FWIW, quite a few people in recent weeks who generally like Cheney -- including those not on the Hill -- were extremely di…",Trump
44,"RT @MZHemingway: Quick Twitter request here. I'm looking for videos of ""peaceful protesters"" from the recent riots who are blocking cameras…",Trump
45,"RT @brithume: Quote: “Even if the charges are dis­missed, or the McCloskeys are par­doned af­ter be­ing con­victed, again we have a pub­lic…",Trump
46,RT @MZHemingway: A February 2017 New a York Times story was a major driver of the Russia collusion hoax. New FBI notes show they quietly an…,Trump
47,RT @BuckSexton: A reminder that those who pander and bow to the mob will still be threatened and humiliated by it⬇️,Trump
48,RT @BuckSexton: The worst mayor in America seems to think his city isn’t under the jurisdiction of America,Trump
49,"John Bolton is, with the exception of Hillary, by far the worst offender of them all! https://t.co/dYk0dsxkG5",Trump
50,"RT @BuckSexton: At least De Blasio, Wheeler, and Lightfoot give hope to other world class idiots that they too can be mayor of a major Amer…",Trump
51,"Great, but did MAGA have anything to do with this great ratings success? https://t.co/npPUfQ4LLL",Trump
52,"RT @realJeffreyLord: FBI knew 'collusion' was a nothing-burger, but kept fake scandal alive anyway https://t.co/8rPFWIDhf1 via @nypost",Trump
53,"RT @BorisEP: Another example of terrible liberal leadership.

This would be all of America under @JoeBiden.

That America would be a SCARY…",Trump
54,"RT @RepMattGaetz: President @realDonaldTrump wants to reopen businesses, reopen schools, reopen churches, and rebuild our economy.

https:/…",Trump
55,"RT @RepMattGaetz: I'm fighting for President @realDonaldTrump's #AmericaFirst vision for the Republican party.

https://t.co/mZgy8cmNhy htt…",Trump
56,"RT @RandPaul: We should all join @realDonaldTrump in advocating to stop our endless wars. Liz Cheney not only wants to stay forever, she’s…",Trump
57,Liz Cheney is only upset because I have been actively getting our great and beautiful Country out of the ridiculous… https://t.co/f5JIriDKMo,Trump
58,I am deeply saddened by the loss of my friend Charles Evers. Charles was a trail blazer in politics and a fearless… https://t.co/NfuzZcFYJa,Trump
59,RT @WhiteHouse: Our nationwide positive Coronavirus test rate is on the decline. https://t.co/Vp0y0KHDK4,Trump
60,RT @WhiteHouse: We will focus efforts on supporting the highest-risk nursing homes and giving states the information they need for an effec…,Trump
61,"RT @WhiteHouse: ""From the beginning, we have made it our top priority to shelter our seniors."" https://t.co/Kt1Uci6cFH",Trump
62,"RT @WhiteHouse: ""Today, my Administration reached a historic agreement with Pfizer, to produce and deliver 100 million doses of their vacci…",Trump
63,RT @WhiteHouse: LIVE: President @realDonaldTrump holds a news conference https://t.co/udsjKKYjZx,Trump
64,RT @TeamTrump: President @realDonaldTrump on Operation Legend: We will soon send federal law enforcement to other cities that need help sto…,Trump
65,"RT @TeamTrump: President @realDonaldTrump's message to American communities plagued by violent crime: ""Help is on the way!"" https://t.co/Dx…",Trump
66,"RT @WhiteHouse: ""Today, I'm announcing a surge of federal law enforcement into American communities plagued by violent crime. We'll work ev…",Trump
67,"RT @WhiteHouse: ""My first duty as President is to protect the American people, and today I am taking action to fulfill that sacred obligati…",Trump
68,RT @WhiteHouse: LIVE: President @realDonaldTrump delivers remarks on Operation Legend https://t.co/g7rebThAwF,Trump
69,We MUST protect our National Parks for our children and grandchildren. I am calling on the House to pass the GREAT… https://t.co/aC8QozIiFY,Trump
70,"RT @TeamTrump: President @realDonaldTrump on the U.S. preforming 50 million tests: ""We have conducted nearly three times as many tests as a…",Trump
71,RT @TeamTrump: President @realDonaldTrump: My Administration has ZERO outstanding requests for equipment from the states https://t.co/Yoah5…,Trump
72,"RT @WhiteHouse: President @realDonaldTrump: ""We're asking everybody that when you are not able to socially distance, wear a mask."" https://…",Trump
73,"RT @WhiteHouse: Fatalities have fallen nationwide, and we are surging supplies, personnel, and therapeutics where they are needed. https://…",Trump
74,"RT @WhiteHouse: ""As one family, we mourn every precious life that's been lost. I pledge in their honor that we will develop a vaccine, and…",Trump
75,RT @WhiteHouse: LIVE: President @realDonaldTrump holds a news conference https://t.co/eNMavhb1e4,Trump
76,"Mail-In Voting, unless changed by the courts, will lead to the most CORRUPT ELECTION in our Nation’s History! #RIGGEDELECTION",Trump
77,Strong Stock Market Numbers. You want to see them dive? Vote for the Radical Left with their BIG Tax Hikes!,Trump
78,“In my view General Flynn should never have been prosecuted in the first place.” @Judgenap Judge Andrew Napolitano  @foxandfriends,Trump
79,"You will never hear this on the Fake News concerning the China Virus, but by comparison to most other countries, wh… https://t.co/7DUmo0EGBL",Trump
80,Tremendous progress being made on Vaccines and Therapeutics!!!,Trump
81,"Looking forward to live sports, but any time I witness a player kneeling during the National Anthem, a sign of grea… https://t.co/ld98zeAK3j",Trump
82,Thank you for the good reviews and comments on my interview with Chris Wallace of @FoxNews. We may have set a recor… https://t.co/gJNbchHeS3,Trump
83,"We are United in our effort to defeat the Invisible China Virus, and many people say that it is Patriotic to wear a… https://t.co/zcdVQe2vRn",Trump
84,"RT @AllenWest: I just want to say how truly humbled I am by this honor, and that I will work hard for Texas and Texans.

I would like to th…",Trump
85,"Congratulations Allen, great job! https://t.co/jjeUk1SwGm",Trump
86,"So we catch Obama &amp; Biden, not to even mention the rest of their crew, SPYING on my campaign, AND NOTHING HAPPENS?… https://t.co/zefK46dmz8",Trump
87,RT @realDonaldTrump: MAKE AMERICA GREAT AGAIN!,Trump
88,"The Radical Left Democrats, who totally control Biden, will destroy our Country as we know it. Unimaginably bad thi… https://t.co/tkjXLN0CNn",Trump
89,"We are trying to help Portland, not hurt it. Their leadership has, for months, lost control of the anarchists and a… https://t.co/aGxYXgi0Rp",Trump
90,MAKE AMERICA GREAT AGAIN!,Trump
91,"RT @GOP: Joe Biden is on a mission to eliminate as many American jobs as possible.
 
No wonder union workers in Pennsylvania tell the Washi…",Trump
92,"RT @GOP: The Radical Left wants open borders. 
 
It’s time to let them know just how WRONG they are. 
 
Take the Official Survey NOW!
https…",Trump
93,"RT @GOP: School shutdowns hurt the most vulnerable students across our country.
 
The stories out of Mississippi’s Jackson Public School Di…",Trump
94,"RT @GOP: “If you need more evidence that Democrats have abandoned the hard-working men and women of this country, look no further than Bide…",Trump
95,"RT @GOP: .@realDonaldTrump's tax cuts are working for everyday Americans!
 
The Tax Cuts &amp; Jobs Act continues to boost job growth, increase…",Trump
96,RT @GOP: “...The increases in taxes would be expanded to include taxpayers &amp; working people of just about all income levels. It also means…,Trump
97,"RT @GOPChairwoman: President @realDonaldTrump is spot on.
 
“[Democrats] want to bury our economy under suffocating, relentless landslides…",Trump
